2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just shared a story! It was boring.', 'author': 'Alice', 'timestamp': '2025-09-18 17:26:42', 'category': 'other', 'sentiment': 0.45, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just found Python! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-18 17:26:47', 'category': 'tech', 'sentiment': 0.82, 'keyword_mentioned': 'Python', 'message_length': 36}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just found Python! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-18 17:26:52', 'category': 'tech', 'sentiment': 0.26, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
